TransactionID,OrderDate,Region,Brand,Category,CPU,GPU,RAM_GB,Storage_GB,OS,Color,Channel,PaymentMethod,Price,DiscountPct,FinalPrice,Quantity,TotalAmount,CustomerSegment,Rating
16,2022-09-01,Europe,Microsoft,All-in-One,i7,Intel Iris,8,256,macOS,Black,Online,Bank Transfer,1905.87,20,1524.7,1,1524.7,Professional,1
17,2024-12-03,Asia-Pacific,Dell,Desktop,i5,NVIDIA RTX 3060,8,2048,Windows 10,White,Online,Credit Card,711.71,20,569.37,1,569.37,Gamer,5
18,2022-09-09,Asia-Pacific,Samsung,Gaming Laptop,Ryzen 3,Intel Iris,8,1024,macOS,Black,Online,Bank Transfer,1429.04,10,1286.14,2,2572.28,Student,1
19,2022-07-28,Asia-Pacific,Asus,Gaming Laptop,i7,NVIDIA GTX 1650,8,1024,Windows 10,White,Reseller,Credit Card,1140.97,15,969.82,3,2909.46,Enterprise,1
20,2025-05-24,North America,Acer,Laptop,i5,AMD Radeon Vega,16,1024,Windows 11,Gray,Reseller,Bank Transfer,1972.56,10,1775.3,1,1775.3,Enterprise,1
21,2023-08-21,North America,Microsoft,Gaming Laptop,i3,Intel UHD,8,1024,macOS,White,Online,Credit Card,820.11,15,697.09,3,2091.27,Student,2
22,2023-01-16,Asia-Pacific,Lenovo,Gaming Laptop,M2,NVIDIA RTX 3060,32,512,Windows 11,Silver,Reseller,Debit Card,508.76,10,457.88,1,457.88,Student,3
23,2025-09-12,Asia-Pacific,Microsoft,Desktop,i9,Intel Iris,32,256,Windows 11,Silver,Retail Store,Debit Card,866.34,10,779.71,2,1559.42,Student,4
24,2022-10-16,North America,MSI,Desktop,i9,NVIDIA RTX 2060,16,512,macOS,Gray,Online,PayPal,979.6,5,930.62,2,1861.24,Enterprise,5
25,2022-12-10,Europe,Samsung,Gaming Laptop,i3,Intel UHD,8,1024,macOS,Gray,Retail Store,Credit Card,499.47,20,399.58,2,799.16,Gamer,5
26,2022-09-02,North America,Acer,Laptop,Ryzen 7,Intel UHD,16,2048,Windows 11,Black,Reseller,PayPal,581.93,10,523.74,3,1571.22,Enterprise,4
27,2024-11-03,Europe,Microsoft,Gaming Laptop,M1,Intel Iris,32,2048,Windows 11,Gray,Retail Store,Credit Card,2161.03,5,2052.98,3,6158.94,Enterprise,3
28,2020-09-20,North America,Microsoft,Gaming Laptop,Ryzen 9,NVIDIA RTX 2060,8,2048,Linux,Gray,Reseller,PayPal,2463.71,5,2340.52,3,7021.56,Student,2
29,2023-11-15,Asia-Pacific,Acer,Desktop,i9,Intel Iris,4,512,Windows 10,Blue,Reseller,Debit Card,2958.23,20,2366.58,1,2366.58,Gamer,4
30,2020-06-05,Europe,Asus,Desktop,i3,Intel UHD,8,512,Linux,White,Online,Credit Card,2490.69,20,1992.55,2,3985.1,Gamer,2
31,2022-03-16,Europe,Samsung,Gaming Laptop,Ryzen 9,NVIDIA RTX 3060,32,512,Linux,Silver,Reseller,PayPal,2333.5,15,1983.47,2,3966.94,Gamer,2
32,2021-04-13,Europe,MSI,Laptop,Ryzen 3,Intel Iris,16,1024,macOS,Silver,Retail Store,Debit Card,2721.87,0,2721.87,1,2721.87,Professional,1
33,2020-03-01,Europe,Microsoft,Gaming Laptop,M1,NVIDIA RTX 2060,4,512,Linux,White,Retail Store,Bank Transfer,2565.52,15,2180.69,3,6542.07,Student,3
34,2023-04-23,Europe,Microsoft,All-in-One,M1,AMD Radeon Vega,32,512,Windows 11,Gray,Reseller,Bank Transfer,1109.63,15,943.19,1,943.19,Professional,4
35,2020-06-05,North America,Razer,Laptop,Ryzen 7,NVIDIA RTX 3060,4,2048,Windows 10,Gray,Retail Store,PayPal,752.82,15,639.9,1,639.9,Professional,4
36,2022-12-23,Europe,Apple,All-in-One,Ryzen 3,NVIDIA RTX 2060,16,256,macOS,Silver,Reseller,Credit Card,1622.8,20,1298.24,1,1298.24,Student,1
37,2023-12-15,North America,Asus,Laptop,M2,Intel Iris,8,2048,Windows 11,Gray,Retail Store,Debit Card,2140.59,20,1712.47,1,1712.47,Student,2
38,2022-07-25,Europe,Dell,Laptop,Ryzen 3,NVIDIA RTX 3060,32,512,Linux,White,Online,Credit Card,597.59,5,567.71,1,567.71,Enterprise,5
39,2023-09-08,Europe,Apple,Laptop,M1,AMD Radeon Vega,16,256,macOS,Gray,Reseller,Bank Transfer,2608.9,15,2217.57,1,2217.57,Professional,4
40,2022-09-28,North America,Samsung,Gaming Laptop,M2,NVIDIA RTX 3060,32,2048,Linux,Silver,Online,PayPal,2546.91,20,2037.53,2,4075.06,Gamer,2
41,2022-11-23,Europe,Razer,All-in-One,Ryzen 5,Intel UHD,16,512,Linux,Gray,Reseller,PayPal,1667.63,10,1500.87,2,3001.74,Student,5
42,2022-07-03,North America,Dell,Desktop,Ryzen 7,NVIDIA RTX 2060,32,2048,Windows 11,Silver,Retail Store,Debit Card,1565.25,0,1565.25,1,1565.25,Enterprise,5
43,2021-01-09,Europe,MSI,Gaming Laptop,Ryzen 7,AMD Radeon Vega,16,2048,macOS,Silver,Retail Store,Credit Card,1104.38,10,993.94,1,993.94,Professional,2
44,2022-07-28,North America,MSI,Gaming Laptop,M2,NVIDIA RTX 3060,4,512,macOS,Black,Reseller,Debit Card,1170.24,10,1053.22,1,1053.22,Enterprise,1
45,2023-09-30,North America,Samsung,Gaming Laptop,i7,AMD Radeon Vega,4,256,Linux,Gray,Online,Credit Card,1892.57,15,1608.68,2,3217.36,Enterprise,4
46,2022-02-10,North America,Dell,All-in-One,Ryzen 9,Intel UHD,8,512,Windows 10,Black,Reseller,Bank Transfer,2508.97,10,2258.07,1,2258.07,Professional,5
47,2025-04-27,Europe,MSI,All-in-One,Ryzen 3,NVIDIA RTX 3060,16,256,Linux,Silver,Retail Store,Credit Card,1985.04,0,1985.04,1,1985.04,Professional,2
48,2022-05-28,North America,Samsung,Laptop,i7,Intel UHD,32,2048,Linux,Blue,Online,Debit Card,1157.27,5,1099.41,2,2198.82,Enterprise,5
49,2021-05-30,Asia-Pacific,Asus,All-in-One,i5,NVIDIA RTX 3060,8,1024,Windows 11,Gray,Reseller,PayPal,2549.24,0,2549.24,1,2549.24,Gamer,1
50,2022-09-28,Europe,Acer,All-in-One,Ryzen 3,NVIDIA RTX 3060,32,256,Linux,White,Retail Store,Credit Card,1954.9,15,1661.66,3,4984.98,Student,2
51,2021-07-17,Asia-Pacific,Razer,Laptop,Ryzen 3,NVIDIA RTX 3060,8,2048,Windows 10,White,Retail Store,Bank Transfer,1749.31,15,1486.91,2,2973.82,Student,4
52,2025-08-20,Europe,Microsoft,Gaming Laptop,Ryzen 5,AMD Radeon Vega,8,1024,Windows 10,Blue,Reseller,Credit Card,1470.28,15,1249.74,2,2499.48,Gamer,1
53,2025-04-18,Europe,Acer,Gaming Laptop,i5,NVIDIA RTX 2060,32,2048,Windows 10,Blue,Reseller,Bank Transfer,540.93,20,432.74,2,865.48,Student,2
54,2021-05-07,Europe,Samsung,Desktop,Ryzen 3,NVIDIA RTX 2060,4,256,Linux,Gray,Reseller,Credit Card,2930.18,20,2344.14,1,2344.14,Gamer,1
55,2024-02-08,North America,Dell,All-in-One,i5,AMD Radeon Vega,32,1024,Windows 11,Blue,Online,Bank Transfer,1723.07,10,1550.76,2,3101.52,Professional,4
56,2022-07-16,North America,Razer,Desktop,i5,NVIDIA GTX 1650,16,1024,Linux,White,Reseller,Bank Transfer,2533.43,10,2280.09,3,6840.27,Professional,4
57,2023-04-04,Asia-Pacific,MSI,Gaming Laptop,Ryzen 5,NVIDIA RTX 3060,32,1024,Linux,Silver,Retail Store,Credit Card,2660.96,5,2527.91,3,7583.73,Enterprise,4
58,2024-06-22,Asia-Pacific,Microsoft,All-in-One,i7,NVIDIA RTX 2060,8,1024,Windows 10,Blue,Online,Debit Card,2661.22,15,2262.04,1,2262.04,Gamer,2
59,2022-09-10,North America,MSI,Gaming Laptop,Ryzen 5,NVIDIA RTX 3060,4,1024,Linux,Blue,Reseller,Credit Card,2616.09,20,2092.87,2,4185.74,Student,2
60,2020-05-22,Asia-Pacific,Acer,Desktop,i5,NVIDIA RTX 2060,4,2048,Windows 10,Gray,Online,PayPal,832.55,10,749.29,1,749.29,Enterprise,3
61,2022-01-18,Europe,HP,Desktop,M1,NVIDIA RTX 2060,8,512,Windows 11,Blue,Reseller,Debit Card,605.32,15,514.52,3,1543.56,Professional,4
62,2023-10-04,Asia-Pacific,Acer,All-in-One,Ryzen 3,AMD Radeon Vega,32,1024,Windows 10,Gray,Reseller,PayPal,2161.79,5,2053.7,1,2053.7,Gamer,3
63,2022-07-06,Europe,Acer,Desktop,Ryzen 7,NVIDIA RTX 2060,8,2048,Windows 10,Black,Reseller,Bank Transfer,1887,20,1509.6,2,3019.2,Enterprise,1
64,2020-10-28,Asia-Pacific,Lenovo,All-in-One,Ryzen 3,Intel Iris,8,512,macOS,Black,Retail Store,Bank Transfer,2014.32,5,1913.6,3,5740.8,Student,5
65,2024-07-07,Europe,HP,Laptop,Ryzen 3,NVIDIA GTX 1650,8,512,Linux,White,Retail Store,Debit Card,743.62,20,594.9,2,1189.8,Enterprise,4
66,2023-02-10,Europe,Apple,Laptop,Ryzen 9,Intel UHD,8,512,macOS,Black,Retail Store,Credit Card,2636.37,15,2240.91,3,6722.73,Enterprise,5
67,2025-04-08,North America,MSI,Gaming Laptop,Ryzen 3,NVIDIA RTX 3060,16,256,Linux,White,Retail Store,Debit Card,2154.58,15,1831.39,1,1831.39,Student,4
68,2021-12-30,Asia-Pacific,Acer,All-in-One,i5,Intel Iris,4,1024,Windows 10,White,Online,Bank Transfer,2989.41,0,2989.41,1,2989.41,Gamer,3
69,2022-05-19,Asia-Pacific,Samsung,All-in-One,M2,AMD Radeon Vega,32,256,Windows 11,Black,Reseller,PayPal,2567.6,20,2054.08,2,4108.16,Professional,4
70,2023-11-13,Europe,Asus,Gaming Laptop,i5,AMD Radeon Vega,16,256,macOS,Black,Reseller,Debit Card,1435.16,5,1363.4,1,1363.4,Student,1
71,2021-04-03,Europe,Asus,Desktop,M2,Intel Iris,8,512,Windows 10,White,Online,PayPal,2513.94,5,2388.24,2,4776.48,Professional,2
72,2022-10-02,Asia-Pacific,Acer,Desktop,i5,AMD Radeon Vega,8,256,Windows 10,Black,Online,PayPal,1331.43,5,1264.86,3,3794.58,Student,2
73,2020-05-14,Asia-Pacific,Microsoft,Laptop,i5,NVIDIA RTX 2060,16,256,Linux,White,Retail Store,Bank Transfer,1575.21,5,1496.45,3,4489.35,Student,1
74,2021-01-27,Europe,Microsoft,All-in-One,i5,NVIDIA RTX 2060,4,256,Linux,Gray,Reseller,PayPal,1237.49,5,1175.62,1,1175.62,Gamer,5
75,2021-10-30,Asia-Pacific,Acer,All-in-One,M1,NVIDIA RTX 3060,4,256,Linux,Blue,Retail Store,Debit Card,2617.26,20,2093.81,3,6281.43,Gamer,3
76,2024-01-13,Europe,Microsoft,All-in-One,i5,NVIDIA GTX 1650,16,1024,Linux,Black,Online,Credit Card,1373.18,5,1304.52,3,3913.56,Student,4
77,2020-06-08,North America,Apple,Desktop,M1,Intel UHD,16,256,macOS,Gray,Reseller,PayPal,1468.1,15,1247.88,3,3743.64,Enterprise,1
78,2020-12-22,Asia-Pacific,Samsung,Desktop,i7,AMD Radeon Vega,8,256,Linux,Gray,Reseller,Debit Card,1310.3,20,1048.24,2,2096.48,Gamer,5
79,2022-12-26,Asia-Pacific,Razer,Laptop,M2,AMD Radeon Vega,4,512,macOS,Black,Online,Debit Card,1110.5,10,999.45,2,1998.9,Gamer,1
80,2022-10-04,North America,Lenovo,Laptop,M1,Intel Iris,32,2048,Linux,White,Reseller,Credit Card,1286.33,10,1157.7,2,2315.4,Student,2
81,2021-10-31,North America,Razer,Laptop,i5,NVIDIA GTX 1650,32,2048,Linux,White,Online,PayPal,1978.4,15,1681.64,2,3363.28,Gamer,1
82,2020-01-24,Europe,Razer,All-in-One,M1,AMD Radeon Vega,4,512,macOS,Silver,Retail Store,Debit Card,1427.68,20,1142.14,1,1142.14,Professional,3
83,2021-12-15,Europe,Apple,Laptop,i3,NVIDIA RTX 2060,32,512,macOS,White,Reseller,PayPal,735.88,20,588.7,3,1766.1,Student,4
84,2020-12-23,Asia-Pacific,Lenovo,All-in-One,i3,NVIDIA RTX 2060,16,2048,Windows 10,Blue,Online,PayPal,1890.84,15,1607.21,2,3214.42,Professional,5
85,2023-05-14,Europe,Apple,Laptop,Ryzen 7,Intel UHD,8,2048,macOS,Gray,Reseller,PayPal,1931.07,20,1544.86,1,1544.86,Professional,3
86,2020-11-15,North America,Dell,Laptop,M1,NVIDIA RTX 3060,16,1024,Windows 11,Silver,Retail Store,Debit Card,2291.19,5,2176.63,1,2176.63,Professional,5
87,2023-10-05,North America,Dell,Desktop,Ryzen 9,NVIDIA RTX 2060,16,1024,Linux,Gray,Retail Store,Credit Card,792.49,0,792.49,2,1584.98,Enterprise,5
88,2025-01-19,North America,Acer,All-in-One,Ryzen 9,Intel UHD,16,1024,Windows 10,White,Retail Store,Bank Transfer,599.5,0,599.5,3,1798.5,Student,4
89,2020-09-19,Asia-Pacific,Asus,Gaming Laptop,M2,NVIDIA RTX 2060,4,2048,Windows 11,White,Reseller,Debit Card,669.1,10,602.19,3,1806.57,Student,2
90,2022-11-17,Asia-Pacific,MSI,All-in-One,M1,NVIDIA RTX 3060,16,1024,Windows 11,White,Online,PayPal,2786.64,15,2368.64,2,4737.28,Student,3
91,2022-08-21,North America,Samsung,All-in-One,Ryzen 3,NVIDIA GTX 1650,16,256,Windows 11,Blue,Online,Credit Card,1915.12,5,1819.36,2,3638.72,Enterprise,5
92,2021-10-27,Europe,Apple,Desktop,M1,Intel UHD,32,1024,macOS,Gray,Retail Store,Debit Card,447.4,10,402.66,1,402.66,Professional,2
93,2021-07-15,North America,Dell,Gaming Laptop,i5,NVIDIA RTX 3060,16,512,Windows 10,White,Online,Bank Transfer,1952.84,5,1855.2,1,1855.2,Student,4
94,2023-02-16,Europe,Asus,All-in-One,M2,NVIDIA GTX 1650,8,512,Linux,White,Retail Store,Bank Transfer,1204.62,15,1023.93,1,1023.93,Enterprise,4
95,2020-11-14,Asia-Pacific,Samsung,All-in-One,i7,Intel Iris,16,256,Windows 11,White,Online,PayPal,2067.07,10,1860.36,3,5581.08,Student,2
96,2023-05-16,Europe,MSI,Desktop,Ryzen 7,Intel UHD,32,1024,Windows 11,White,Retail Store,Debit Card,2819.23,15,2396.35,1,2396.35,Gamer,1
97,2021-03-07,Europe,Asus,Laptop,Ryzen 5,Intel UHD,8,512,macOS,Blue,Retail Store,Credit Card,499.59,15,424.65,3,1273.95,Student,1
98,2022-01-10,Europe,Asus,Desktop,M1,AMD Radeon Vega,4,1024,Linux,Blue,Reseller,Bank Transfer,1017.86,0,1017.86,1,1017.86,Student,1
99,2022-01-17,Europe,Razer,Laptop,M1,NVIDIA RTX 3060,8,1024,Windows 11,White,Retail Store,Debit Card,1516.02,20,1212.82,2,2425.64,Student,5
100,2020-07-28,Europe,Dell,Laptop,Ryzen 7,NVIDIA RTX 2060,32,1024,Windows 10,Gray,Online,Credit Card,1059.49,0,1059.49,2,2118.98,Enterprise,2
101,2023-11-22,North America,Apple,Gaming Laptop,i7,AMD Radeon Vega,32,2048,macOS,Black,Retail Store,Debit Card,2042.51,5,1940.38,1,1940.38,Student,2
102,2023-01-14,North America,Apple,Gaming Laptop,M1,NVIDIA RTX 2060,32,1024,macOS,Black,Reseller,PayPal,495.21,5,470.45,2,940.9,Enterprise,1
103,2022-04-08,Europe,Microsoft,All-in-One,Ryzen 9,NVIDIA RTX 2060,8,2048,macOS,Black,Reseller,Bank Transfer,2199.38,10,1979.44,3,5938.32,Student,4
104,2023-08-16,Asia-Pacific,HP,Gaming Laptop,Ryzen 5,Intel UHD,16,1024,Windows 10,Silver,Reseller,Bank Transfer,1196.89,20,957.51,3,2872.53,Enterprise,4
105,2024-05-13,North America,Apple,All-in-One,Ryzen 3,AMD Radeon Vega,4,256,macOS,Silver,Online,Debit Card,2145.08,15,1823.32,2,3646.64,Gamer,1
106,2023-10-11,North America,Dell,Desktop,Ryzen 5,NVIDIA GTX 1650,4,512,Linux,Black,Reseller,Debit Card,2165.56,10,1949,2,3898,Enterprise,4
107,2022-03-19,Europe,Acer,Desktop,i5,Intel UHD,32,2048,Windows 11,Blue,Online,PayPal,2775.21,0,2775.21,2,5550.42,Gamer,2
108,2024-08-11,North America,HP,Laptop,Ryzen 9,Intel Iris,4,1024,Linux,Gray,Retail Store,Debit Card,2136.38,0,2136.38,3,6409.14,Professional,3
109,2023-12-23,Asia-Pacific,Asus,Laptop,i9,Intel Iris,32,256,Windows 11,White,Online,Credit Card,1338.33,20,1070.66,2,2141.32,Student,3
110,2025-10-14,Europe,MSI,All-in-One,Ryzen 7,NVIDIA RTX 3060,8,1024,Windows 10,White,Retail Store,Debit Card,2070.08,15,1759.57,2,3519.14,Professional,2
111,2024-05-31,Europe,Samsung,Laptop,i5,NVIDIA RTX 3060,16,512,Windows 11,Gray,Online,PayPal,821.11,5,780.05,2,1560.1,Professional,5
112,2025-02-23,Europe,HP,Gaming Laptop,M2,NVIDIA RTX 3060,8,512,Windows 10,Gray,Reseller,Credit Card,845.12,20,676.1,3,2028.3,Student,1
113,2025-06-17,North America,Razer,Gaming Laptop,i9,NVIDIA RTX 3060,4,2048,Linux,Gray,Retail Store,Debit Card,2711.39,20,2169.11,2,4338.22,Gamer,3
114,2022-08-29,Europe,Dell,Laptop,i7,NVIDIA RTX 2060,32,2048,Linux,Gray,Reseller,PayPal,930.46,20,744.37,1,744.37,Gamer,2
115,2020-06-06,Europe,Samsung,Laptop,Ryzen 5,Intel Iris,4,1024,Linux,Gray,Retail Store,Bank Transfer,1568.95,5,1490.5,1,1490.5,Professional,2
116,2020-10-06,Europe,Razer,Gaming Laptop,i9,Intel Iris,32,2048,Linux,Blue,Reseller,Bank Transfer,2685.6,15,2282.76,1,2282.76,Professional,2
117,2023-08-31,Asia-Pacific,Apple,Laptop,i3,NVIDIA GTX 1650,32,2048,macOS,Silver,Retail Store,PayPal,1142.95,0,1142.95,1,1142.95,Gamer,3
118,2024-09-04,North America,Microsoft,Laptop,M2,NVIDIA RTX 3060,16,1024,Windows 11,Gray,Reseller,Credit Card,591.18,20,472.94,2,945.88,Professional,1
119,2020-05-05,Europe,Apple,Gaming Laptop,M1,NVIDIA GTX 1650,8,512,macOS,Black,Online,Debit Card,1966.4,15,1671.44,3,5014.32,Enterprise,4
120,2022-07-18,Asia-Pacific,MSI,Desktop,M2,NVIDIA RTX 3060,16,1024,Windows 11,White,Retail Store,Bank Transfer,822.51,20,658.01,3,1974.03,Enterprise,4
121,2024-12-02,North America,Apple,Gaming Laptop,i5,NVIDIA RTX 2060,16,256,macOS,White,Online,Credit Card,1951.97,10,1756.77,3,5270.31,Gamer,2
122,2023-07-25,Asia-Pacific,Razer,All-in-One,i7,AMD Radeon Vega,4,256,Windows 11,Silver,Retail Store,Debit Card,896.04,15,761.63,2,1523.26,Gamer,5
123,2023-11-29,Asia-Pacific,MSI,Laptop,i7,NVIDIA RTX 3060,16,2048,Windows 11,White,Retail Store,PayPal,1766.24,10,1589.62,1,1589.62,Enterprise,5
124,2024-02-28,Europe,Asus,Desktop,Ryzen 3,NVIDIA RTX 3060,8,1024,macOS,Gray,Retail Store,PayPal,2405.05,5,2284.8,3,6854.4,Enterprise,3
125,2023-10-06,North America,Razer,All-in-One,Ryzen 7,NVIDIA GTX 1650,16,256,Windows 11,Gray,Reseller,Bank Transfer,1147.84,0,1147.84,2,2295.68,Professional,2
126,2025-06-05,Asia-Pacific,Acer,Gaming Laptop,i7,Intel UHD,8,256,Windows 11,Silver,Online,Credit Card,2141.57,20,1713.26,1,1713.26,Gamer,3
127,2022-09-24,Asia-Pacific,MSI,Laptop,i7,Intel UHD,32,2048,Windows 11,Gray,Reseller,Credit Card,1641.37,5,1559.3,2,3118.6,Student,5
128,2022-06-18,North America,Samsung,Laptop,i7,NVIDIA RTX 2060,4,2048,Windows 11,Black,Online,PayPal,2448.7,5,2326.26,3,6978.78,Student,3
129,2023-11-26,Europe,MSI,All-in-One,i7,NVIDIA RTX 3060,16,512,Linux,Gray,Reseller,Debit Card,2502.92,10,2252.63,1,2252.63,Student,3
130,2021-03-12,Europe,Razer,Desktop,i7,NVIDIA RTX 3060,32,1024,Linux,Blue,Retail Store,Debit Card,625.52,0,625.52,1,625.52,Student,3
131,2025-09-05,Europe,Asus,All-in-One,Ryzen 3,NVIDIA GTX 1650,4,1024,macOS,Black,Retail Store,PayPal,2099.58,5,1994.6,1,1994.6,Professional,4
132,2021-04-20,Asia-Pacific,Samsung,Gaming Laptop,i5,AMD Radeon Vega,16,512,macOS,Blue,Reseller,PayPal,969.73,5,921.24,2,1842.48,Gamer,5
133,2020-07-10,Europe,Samsung,Desktop,i9,AMD Radeon Vega,32,1024,Windows 10,White,Reseller,Debit Card,603.07,20,482.46,1,482.46,Professional,2
134,2023-11-09,Europe,Samsung,All-in-One,i5,AMD Radeon Vega,32,256,Windows 11,Silver,Reseller,Bank Transfer,2737.11,15,2326.54,1,2326.54,Gamer,5
135,2020-08-14,North America,Samsung,All-in-One,Ryzen 3,AMD Radeon Vega,32,1024,Windows 10,Black,Retail Store,PayPal,2522.78,5,2396.64,3,7189.92,Student,5
136,2023-04-03,North America,Dell,All-in-One,i3,NVIDIA GTX 1650,8,512,Linux,Blue,Retail Store,Bank Transfer,2391.15,15,2032.48,2,4064.96,Student,5
137,2020-03-11,North America,Apple,Laptop,i7,NVIDIA RTX 3060,32,512,macOS,Gray,Retail Store,Bank Transfer,2292.43,5,2177.81,1,2177.81,Gamer,2
138,2020-02-18,North America,MSI,Gaming Laptop,i7,NVIDIA GTX 1650,4,256,Windows 11,Silver,Online,Credit Card,2504.64,15,2128.94,3,6386.82,Student,5
139,2021-03-11,North America,MSI,Laptop,i9,AMD Radeon Vega,32,2048,Windows 10,White,Retail Store,Debit Card,1009.28,5,958.82,1,958.82,Enterprise,5
140,2025-01-12,Asia-Pacific,Apple,Desktop,Ryzen 3,Intel Iris,8,2048,macOS,Silver,Reseller,Bank Transfer,1181.3,0,1181.3,3,3543.9,Gamer,1
141,2022-01-18,Europe,Microsoft,Gaming Laptop,Ryzen 7,NVIDIA RTX 2060,16,2048,Windows 11,Silver,Retail Store,Debit Card,878.09,20,702.47,2,1404.94,Gamer,1
142,2020-09-02,Asia-Pacific,Microsoft,All-in-One,M1,NVIDIA RTX 3060,32,512,Windows 11,Blue,Retail Store,Credit Card,1062.99,10,956.69,3,2870.07,Professional,1
143,2020-02-17,Europe,Microsoft,Laptop,i5,Intel Iris,32,512,Windows 11,Silver,Online,Credit Card,2660.63,10,2394.57,2,4789.14,Gamer,2
144,2022-03-23,Asia-Pacific,Razer,Desktop,Ryzen 7,Intel Iris,16,2048,macOS,Gray,Reseller,Bank Transfer,1612.25,10,1451.03,2,2902.06,Gamer,1
145,2021-03-29,Asia-Pacific,MSI,Gaming Laptop,i9,NVIDIA GTX 1650,32,256,macOS,Black,Retail Store,Bank Transfer,1862.56,5,1769.43,3,5308.29,Enterprise,2
146,2024-02-27,North America,Apple,Desktop,Ryzen 7,NVIDIA RTX 3060,8,2048,macOS,Blue,Retail Store,Debit Card,1831.67,10,1648.5,2,3297,Enterprise,2
147,2023-07-05,North America,Samsung,All-in-One,i7,NVIDIA RTX 3060,4,256,Windows 10,Silver,Reseller,Debit Card,2857.49,0,2857.49,1,2857.49,Student,2
148,2020-02-06,North America,Asus,All-in-One,Ryzen 5,Intel UHD,32,256,Linux,Black,Reseller,PayPal,417.19,20,333.75,2,667.5,Enterprise,1
149,2022-04-10,Asia-Pacific,Microsoft,Desktop,i5,Intel UHD,8,512,Windows 11,Blue,Online,PayPal,2011.43,10,1810.29,2,3620.58,Gamer,4
150,2024-01-18,Asia-Pacific,Asus,Desktop,Ryzen 3,AMD Radeon Vega,4,256,Windows 10,Black,Reseller,Credit Card,1453.72,15,1235.66,3,3706.98,Professional,1
151,2022-04-22,Europe,Microsoft,Gaming Laptop,M2,Intel UHD,8,512,Windows 10,Black,Online,PayPal,2743.31,20,2194.65,2,4389.3,Student,2
152,2023-04-24,Europe,Lenovo,Desktop,M2,Intel Iris,4,1024,Linux,White,Retail Store,Bank Transfer,822.37,5,781.25,3,2343.75,Professional,1
153,2023-05-17,Asia-Pacific,Apple,Laptop,i5,NVIDIA RTX 2060,8,256,macOS,Gray,Online,PayPal,1285.54,20,1028.43,3,3085.29,Gamer,4
154,2020-08-16,North America,Apple,All-in-One,Ryzen 7,Intel Iris,32,256,macOS,Black,Retail Store,Debit Card,2407.64,10,2166.88,1,2166.88,Gamer,2
155,2021-02-15,Asia-Pacific,Microsoft,Gaming Laptop,Ryzen 5,Intel UHD,4,1024,Windows 10,Black,Online,Bank Transfer,1556.31,10,1400.68,1,1400.68,Gamer,5
