Region,Brand,Category,CPU,GPU,RAM_GB,Storage_GB,OS,Color,Channel,PaymentMethod,CustomerSegment,CPU_family,GPU_family,y_true,p_high,pred
Asia-Pacific,Asus,All-in-One,Ryzen 5,NVIDIA RTX 2060,16,256,macOS,Black,Reseller,Bank Transfer,Student,Ryzen 5,RTX 2060,0,0.485,1
Asia-Pacific,Asus,Laptop,i3,NVIDIA GTX 1650,4,2048,Linux,Black,Retail Store,PayPal,Enterprise,i3,GTX 1650,0,0.385,1
Asia-Pacific,MSI,All-in-One,Ryzen 9,NVIDIA GTX 1650,8,256,macOS,Silver,Retail Store,Debit Card,Professional,Ryzen 9,GTX 1650,0,0.335,0
Europe,MSI,All-in-One,Ryzen 7,NVIDIA RTX 3060,16,1024,macOS,Silver,Reseller,Debit Card,Student,Ryzen 7,RTX 3060,0,0.3775,1
North America,HP,All-in-One,i3,NVIDIA RTX 2060,32,1024,macOS,Black,Reseller,Bank Transfer,Student,i3,RTX 2060,0,0.505,1
North America,Microsoft,Laptop,M1,NVIDIA GTX 1650,16,256,Linux,White,Reseller,Credit Card,Enterprise,M1,GTX 1650,0,0.43,1
Europe,HP,Laptop,M2,NVIDIA RTX 2060,8,2048,Windows 11,Gray,Online,PayPal,Professional,M2,RTX 2060,0,0.33,0
Asia-Pacific,Apple,Laptop,i5,AMD Radeon Vega,16,2048,macOS,Blue,Retail Store,PayPal,Professional,i5,AMD Radeon Vega,1,0.4125,1
Europe,Asus,Gaming Laptop,M1,AMD Radeon Vega,8,2048,macOS,White,Retail Store,PayPal,Gamer,M1,AMD Radeon Vega,1,0.555,1
Asia-Pacific,HP,Gaming Laptop,Ryzen 5,Intel UHD,8,2048,Windows 10,Silver,Retail Store,Bank Transfer,Enterprise,Ryzen 5,Intel UHD,1,0.2875,0
Europe,Microsoft,All-in-One,i3,NVIDIA GTX 1650,16,1024,Windows 11,Silver,Online,Bank Transfer,Student,i3,GTX 1650,0,0.4675,1
Asia-Pacific,Samsung,Gaming Laptop,i3,NVIDIA RTX 2060,8,2048,Windows 10,Gray,Retail Store,Debit Card,Student,i3,RTX 2060,0,0.36,1
North America,Microsoft,Laptop,i3,Intel UHD,4,2048,Windows 10,White,Online,PayPal,Enterprise,i3,Intel UHD,0,0.3525,1
North America,HP,All-in-One,Ryzen 5,NVIDIA RTX 2060,32,256,Windows 11,White,Retail Store,Debit Card,Student,Ryzen 5,RTX 2060,1,0.435,1
North America,MSI,Desktop,Ryzen 5,Intel Iris,32,256,Windows 11,Silver,Online,Debit Card,Enterprise,Ryzen 5,Intel Iris,1,0.435,1
Asia-Pacific,Samsung,Desktop,i9,Intel Iris,16,256,macOS,Silver,Reseller,Debit Card,Gamer,i9,Intel Iris,0,0.44,1
Europe,Acer,All-in-One,Ryzen 7,NVIDIA RTX 2060,4,1024,Linux,Gray,Retail Store,Bank Transfer,Enterprise,Ryzen 7,RTX 2060,1,0.3475,0
North America,Apple,Gaming Laptop,Ryzen 5,AMD Radeon Vega,32,512,macOS,Black,Reseller,PayPal,Gamer,Ryzen 5,AMD Radeon Vega,1,0.5025,1
Europe,Apple,Laptop,i3,Intel UHD,8,2048,macOS,Silver,Retail Store,PayPal,Professional,i3,Intel UHD,0,0.29,0
North America,Microsoft,Desktop,Ryzen 9,AMD Radeon Vega,32,512,macOS,Silver,Online,Debit Card,Gamer,Ryzen 9,AMD Radeon Vega,0,0.23,0
Europe,Razer,Gaming Laptop,i3,Intel UHD,32,512,Windows 10,Blue,Online,Bank Transfer,Student,i3,Intel UHD,0,0.455,1
Europe,Microsoft,Laptop,Ryzen 9,AMD Radeon Vega,32,512,Windows 11,Black,Online,Bank Transfer,Enterprise,Ryzen 9,AMD Radeon Vega,0,0.285,0
Europe,Lenovo,Desktop,i5,NVIDIA RTX 2060,32,512,Windows 10,Gray,Retail Store,Debit Card,Student,i5,RTX 2060,1,0.3,0
North America,Razer,Gaming Laptop,i7,NVIDIA RTX 2060,32,1024,Windows 10,White,Online,Bank Transfer,Professional,i7,RTX 2060,0,0.3525,1
North America,Samsung,All-in-One,Ryzen 5,Intel UHD,32,2048,Windows 11,Silver,Online,PayPal,Gamer,Ryzen 5,Intel UHD,1,0.2975,0
North America,MSI,Desktop,i3,NVIDIA RTX 3060,4,256,Windows 10,Silver,Reseller,Credit Card,Enterprise,i3,RTX 3060,0,0.3675,1
Europe,Apple,Desktop,Ryzen 7,AMD Radeon Vega,32,2048,macOS,Blue,Online,Credit Card,Student,Ryzen 7,AMD Radeon Vega,1,0.2825,0
North America,Apple,All-in-One,i9,NVIDIA RTX 2060,16,1024,macOS,Gray,Reseller,PayPal,Gamer,i9,RTX 2060,1,0.425,1
Asia-Pacific,Lenovo,Laptop,Ryzen 3,Intel UHD,8,512,Windows 10,Blue,Retail Store,Bank Transfer,Student,Ryzen 3,Intel UHD,0,0.37,1
Asia-Pacific,Acer,Desktop,Ryzen 5,NVIDIA GTX 1650,32,2048,Linux,Blue,Online,PayPal,Professional,Ryzen 5,GTX 1650,0,0.365,1
Europe,Razer,All-in-One,M1,NVIDIA GTX 1650,4,256,Linux,Black,Online,PayPal,Professional,M1,GTX 1650,0,0.48,1
Asia-Pacific,Dell,Laptop,i7,NVIDIA GTX 1650,8,256,macOS,Black,Retail Store,Credit Card,Gamer,i7,GTX 1650,0,0.3975,1
Asia-Pacific,Dell,Laptop,Ryzen 3,NVIDIA RTX 3060,4,2048,Windows 11,Blue,Reseller,Debit Card,Professional,Ryzen 3,RTX 3060,1,0.4825,1
North America,MSI,Laptop,i9,NVIDIA GTX 1650,16,512,Linux,Blue,Reseller,Credit Card,Professional,i9,GTX 1650,0,0.355,1
North America,Lenovo,All-in-One,Ryzen 7,NVIDIA RTX 3060,16,256,macOS,Silver,Online,Debit Card,Professional,Ryzen 7,RTX 3060,1,0.2925,0
Europe,Razer,Gaming Laptop,i3,NVIDIA RTX 3060,4,256,Windows 10,Blue,Reseller,Credit Card,Professional,i3,RTX 3060,0,0.4775,1
Europe,HP,Gaming Laptop,M1,NVIDIA GTX 1650,4,256,macOS,Blue,Online,PayPal,Gamer,M1,GTX 1650,0,0.31,0
Asia-Pacific,Razer,Desktop,Ryzen 3,AMD Radeon Vega,32,256,Windows 10,White,Retail Store,Credit Card,Gamer,Ryzen 3,AMD Radeon Vega,0,0.44,1
North America,Acer,Laptop,i3,NVIDIA RTX 3060,8,1024,Linux,Gray,Retail Store,Debit Card,Enterprise,i3,RTX 3060,0,0.305,0
Asia-Pacific,Apple,Laptop,i7,AMD Radeon Vega,16,2048,macOS,Gray,Reseller,PayPal,Professional,i7,AMD Radeon Vega,1,0.4575,1
Europe,HP,All-in-One,Ryzen 5,AMD Radeon Vega,4,256,Windows 10,Blue,Retail Store,PayPal,Professional,Ryzen 5,AMD Radeon Vega,0,0.4125,1
North America,HP,Laptop,i7,Intel UHD,32,512,Windows 11,Gray,Retail Store,Debit Card,Professional,i7,Intel UHD,0,0.3875,1
Europe,Samsung,All-in-One,Ryzen 5,AMD Radeon Vega,8,2048,Linux,Black,Reseller,Bank Transfer,Gamer,Ryzen 5,AMD Radeon Vega,0,0.4775,1
North America,Asus,Laptop,M2,NVIDIA GTX 1650,32,2048,Linux,Silver,Retail Store,Bank Transfer,Enterprise,M2,GTX 1650,0,0.4775,1
North America,Samsung,Laptop,i3,Intel Iris,4,1024,Windows 10,White,Online,Debit Card,Student,i3,Intel Iris,0,0.375,1
North America,Lenovo,Laptop,Ryzen 5,AMD Radeon Vega,4,256,Linux,Black,Online,Credit Card,Gamer,Ryzen 5,AMD Radeon Vega,1,0.48,1
Asia-Pacific,Dell,Laptop,i9,NVIDIA GTX 1650,8,256,Linux,Silver,Reseller,PayPal,Professional,i9,GTX 1650,1,0.455,1
Asia-Pacific,MSI,Gaming Laptop,Ryzen 9,NVIDIA GTX 1650,16,2048,Windows 11,Black,Online,PayPal,Gamer,Ryzen 9,GTX 1650,0,0.3925,1
Asia-Pacific,Dell,All-in-One,Ryzen 3,NVIDIA GTX 1650,32,1024,macOS,White,Online,Bank Transfer,Student,Ryzen 3,GTX 1650,0,0.4525,1
Europe,Microsoft,Desktop,i7,Intel Iris,4,1024,macOS,White,Reseller,PayPal,Student,i7,Intel Iris,0,0.405,1
North America,Dell,Laptop,M2,Intel UHD,8,1024,Windows 11,Black,Online,Credit Card,Professional,M2,Intel UHD,0,0.3575,1
Asia-Pacific,Acer,Desktop,Ryzen 9,NVIDIA GTX 1650,32,256,macOS,Black,Online,Debit Card,Enterprise,Ryzen 9,GTX 1650,1,0.36,1
Asia-Pacific,MSI,All-in-One,M1,NVIDIA GTX 1650,32,2048,Windows 11,Black,Retail Store,Bank Transfer,Student,M1,GTX 1650,0,0.4675,1
Europe,Asus,Laptop,M2,Intel UHD,8,1024,Linux,Silver,Retail Store,Bank Transfer,Gamer,M2,Intel UHD,1,0.3125,0
Asia-Pacific,HP,Laptop,i7,NVIDIA RTX 2060,16,1024,Windows 11,Gray,Retail Store,Bank Transfer,Enterprise,i7,RTX 2060,0,0.555,1
North America,Samsung,All-in-One,Ryzen 5,Intel Iris,4,256,Linux,Black,Online,Credit Card,Student,Ryzen 5,Intel Iris,0,0.425,1
Europe,Dell,Laptop,Ryzen 3,NVIDIA RTX 3060,32,1024,Windows 10,White,Reseller,Debit Card,Professional,Ryzen 3,RTX 3060,1,0.3875,1
North America,Apple,Gaming Laptop,i7,AMD Radeon Vega,8,512,macOS,Silver,Online,Credit Card,Enterprise,i7,AMD Radeon Vega,1,0.3675,1
Europe,Dell,Laptop,i7,NVIDIA RTX 3060,16,2048,macOS,White,Online,PayPal,Gamer,i7,RTX 3060,1,0.46,1
Europe,Microsoft,Laptop,i9,NVIDIA RTX 2060,16,512,macOS,Gray,Reseller,Debit Card,Professional,i9,RTX 2060,1,0.33,0
Europe,HP,Desktop,i9,NVIDIA GTX 1650,16,512,macOS,Black,Online,Debit Card,Professional,i9,GTX 1650,0,0.4375,1
Asia-Pacific,Samsung,Laptop,i7,NVIDIA RTX 2060,8,2048,Windows 11,Gray,Reseller,PayPal,Student,i7,RTX 2060,1,0.3975,1
Asia-Pacific,Samsung,Laptop,Ryzen 5,AMD Radeon Vega,8,256,Linux,Silver,Online,Credit Card,Professional,Ryzen 5,AMD Radeon Vega,1,0.375,1
North America,Lenovo,Gaming Laptop,Ryzen 7,Intel Iris,8,256,macOS,Gray,Reseller,Debit Card,Professional,Ryzen 7,Intel Iris,0,0.44,1
Europe,Microsoft,All-in-One,Ryzen 5,Intel UHD,4,256,Windows 11,Blue,Online,Credit Card,Enterprise,Ryzen 5,Intel UHD,0,0.395,1
North America,Razer,Desktop,i7,AMD Radeon Vega,32,256,Windows 10,Silver,Reseller,Debit Card,Enterprise,i7,AMD Radeon Vega,0,0.4225,1
Europe,MSI,Gaming Laptop,i5,NVIDIA GTX 1650,4,512,macOS,White,Online,Credit Card,Student,i5,GTX 1650,1,0.3325,0
Europe,Asus,Laptop,Ryzen 5,Intel UHD,8,512,macOS,Blue,Retail Store,Credit Card,Student,Ryzen 5,Intel UHD,0,0.365,1
Asia-Pacific,MSI,Laptop,M2,NVIDIA RTX 3060,16,1024,Linux,Silver,Online,PayPal,Professional,M2,RTX 3060,0,0.4975,1
Asia-Pacific,Asus,All-in-One,i9,Intel UHD,8,512,Linux,Black,Online,Bank Transfer,Professional,i9,Intel UHD,1,0.415,1
North America,Microsoft,Desktop,i5,NVIDIA RTX 3060,4,512,Windows 11,Blue,Retail Store,Debit Card,Enterprise,i5,RTX 3060,1,0.47,1
North America,Dell,Desktop,i9,NVIDIA RTX 2060,16,512,macOS,Black,Retail Store,PayPal,Enterprise,i9,RTX 2060,0,0.465,1
North America,Microsoft,Laptop,M2,NVIDIA RTX 2060,16,1024,macOS,White,Retail Store,Bank Transfer,Professional,M2,RTX 2060,1,0.34,0
Asia-Pacific,Dell,Desktop,Ryzen 5,Intel UHD,8,2048,macOS,Black,Online,PayPal,Student,Ryzen 5,Intel UHD,0,0.4425,1
North America,Dell,Laptop,M2,AMD Radeon Vega,4,512,Windows 11,Gray,Reseller,Bank Transfer,Gamer,M2,AMD Radeon Vega,0,0.4325,1
Asia-Pacific,Lenovo,Laptop,i7,NVIDIA GTX 1650,16,512,Windows 11,Blue,Reseller,Credit Card,Professional,i7,GTX 1650,0,0.4475,1
North America,MSI,Gaming Laptop,Ryzen 7,AMD Radeon Vega,8,256,macOS,Silver,Online,Credit Card,Student,Ryzen 7,AMD Radeon Vega,1,0.4075,1
North America,Acer,Gaming Laptop,M1,NVIDIA RTX 3060,4,256,macOS,White,Online,Debit Card,Professional,M1,RTX 3060,0,0.455,1
North America,Asus,All-in-One,i9,AMD Radeon Vega,4,2048,Windows 11,Black,Online,Bank Transfer,Student,i9,AMD Radeon Vega,0,0.4225,1
Europe,Asus,Laptop,M2,Intel Iris,16,2048,Linux,White,Online,Debit Card,Enterprise,M2,Intel Iris,1,0.4475,1
Europe,Razer,Desktop,M1,Intel UHD,8,2048,Linux,Black,Retail Store,Debit Card,Gamer,M1,Intel UHD,0,0.425,1
North America,Acer,Desktop,i3,Intel Iris,8,512,Windows 11,Blue,Online,Debit Card,Gamer,i3,Intel Iris,1,0.365,1
Europe,Razer,Laptop,M2,NVIDIA GTX 1650,4,1024,Windows 11,Silver,Reseller,Credit Card,Gamer,M2,GTX 1650,1,0.4175,1
Europe,Lenovo,All-in-One,M2,Intel Iris,16,256,Windows 10,Black,Retail Store,Debit Card,Gamer,M2,Intel Iris,1,0.44,1
North America,Apple,Laptop,i7,AMD Radeon Vega,4,2048,macOS,White,Online,Credit Card,Professional,i7,AMD Radeon Vega,1,0.2875,0
North America,HP,All-in-One,i9,Intel Iris,32,512,Windows 11,White,Retail Store,Credit Card,Professional,i9,Intel Iris,0,0.305,0
North America,Acer,Desktop,i3,Intel UHD,32,512,Windows 10,Gray,Reseller,Debit Card,Student,i3,Intel UHD,1,0.3225,0
Europe,HP,Gaming Laptop,Ryzen 7,Intel Iris,32,512,Linux,White,Retail Store,Credit Card,Gamer,Ryzen 7,Intel Iris,0,0.3075,0
Europe,Acer,All-in-One,Ryzen 7,Intel Iris,8,256,Windows 10,White,Retail Store,Credit Card,Student,Ryzen 7,Intel Iris,0,0.3525,1
Europe,Lenovo,Desktop,i9,Intel Iris,32,256,Windows 10,Silver,Online,Credit Card,Student,i9,Intel Iris,1,0.37,1
Asia-Pacific,Razer,Laptop,Ryzen 9,NVIDIA RTX 3060,16,2048,Windows 10,Black,Online,Bank Transfer,Student,Ryzen 9,RTX 3060,0,0.36,1
Asia-Pacific,Apple,Laptop,M1,NVIDIA GTX 1650,4,2048,macOS,Black,Online,PayPal,Gamer,M1,GTX 1650,0,0.52,1
Europe,MSI,All-in-One,i5,NVIDIA RTX 3060,8,256,Windows 10,Silver,Retail Store,Debit Card,Enterprise,i5,RTX 3060,0,0.4075,1
Asia-Pacific,Microsoft,Gaming Laptop,i9,Intel UHD,8,1024,macOS,Black,Retail Store,Debit Card,Student,i9,Intel UHD,0,0.4125,1
North America,Asus,Laptop,M2,AMD Radeon Vega,8,1024,Linux,White,Retail Store,Bank Transfer,Student,M2,AMD Radeon Vega,1,0.3425,0
Asia-Pacific,Dell,Desktop,i3,Intel UHD,16,512,Windows 10,Blue,Retail Store,Debit Card,Gamer,i3,Intel UHD,0,0.45,1
Asia-Pacific,Razer,Gaming Laptop,Ryzen 9,Intel Iris,8,256,Linux,Silver,Online,Credit Card,Gamer,Ryzen 9,Intel Iris,0,0.4,1
Europe,Asus,Desktop,i3,Intel Iris,8,512,Linux,Silver,Online,Debit Card,Gamer,i3,Intel Iris,0,0.3025,0
North America,Microsoft,Desktop,Ryzen 3,NVIDIA RTX 3060,16,1024,Linux,White,Retail Store,Credit Card,Gamer,Ryzen 3,RTX 3060,0,0.2825,0
North America,Lenovo,All-in-One,i7,Intel Iris,16,1024,Windows 10,Black,Reseller,Debit Card,Student,i7,Intel Iris,0,0.3875,1
North America,Acer,All-in-One,Ryzen 9,Intel UHD,32,2048,Linux,Blue,Retail Store,Bank Transfer,Gamer,Ryzen 9,Intel UHD,1,0.3175,0
Asia-Pacific,MSI,Gaming Laptop,M1,NVIDIA RTX 3060,4,256,Windows 11,Black,Reseller,Bank Transfer,Enterprise,M1,RTX 3060,0,0.465,1
North America,Lenovo,All-in-One,i3,NVIDIA GTX 1650,32,2048,Linux,Silver,Retail Store,Credit Card,Enterprise,i3,GTX 1650,0,0.4875,1
North America,Razer,All-in-One,M2,AMD Radeon Vega,8,2048,macOS,White,Retail Store,Credit Card,Enterprise,M2,AMD Radeon Vega,0,0.385,1
North America,Dell,Desktop,i7,NVIDIA RTX 2060,8,2048,macOS,White,Retail Store,Credit Card,Professional,i7,RTX 2060,1,0.4475,1
North America,Asus,Desktop,M1,NVIDIA GTX 1650,8,2048,Windows 11,Gray,Retail Store,Credit Card,Enterprise,M1,GTX 1650,1,0.32,0
Asia-Pacific,HP,Laptop,Ryzen 9,NVIDIA GTX 1650,32,512,Linux,Blue,Online,Credit Card,Gamer,Ryzen 9,GTX 1650,1,0.4,1
Asia-Pacific,Acer,All-in-One,M1,NVIDIA RTX 3060,16,1024,Windows 10,Silver,Retail Store,Bank Transfer,Professional,M1,RTX 3060,0,0.415,1
Asia-Pacific,HP,Laptop,Ryzen 7,NVIDIA GTX 1650,4,512,Linux,Silver,Retail Store,PayPal,Gamer,Ryzen 7,GTX 1650,1,0.4,1
North America,MSI,Desktop,Ryzen 9,Intel UHD,16,2048,Windows 11,Black,Online,Credit Card,Enterprise,Ryzen 9,Intel UHD,1,0.375,1
Asia-Pacific,Asus,All-in-One,i5,Intel UHD,16,1024,Windows 11,Blue,Reseller,Bank Transfer,Professional,i5,Intel UHD,0,0.4375,1
Asia-Pacific,Apple,Laptop,i9,NVIDIA RTX 3060,16,1024,macOS,Gray,Retail Store,Debit Card,Gamer,i9,RTX 3060,0,0.4225,1
North America,Dell,All-in-One,i3,Intel Iris,16,1024,macOS,Gray,Online,Debit Card,Enterprise,i3,Intel Iris,0,0.45,1
